[2025-05-12 08:01:46,682] 16 root - INFO - Initiating the data ingestion
[2025-05-12 08:01:56,792] 61 root - INFO - Performed train test split on the dataframe
[2025-05-12 08:01:56,792] 63 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-05-12 08:01:56,792] 71 root - INFO - Exporting train and test file path.
[2025-05-12 08:01:56,891] 80 root - INFO - Exported train and test file path.
[2025-05-12 08:01:56,891] 19 root - INFO - data ingestion completed
[2025-05-12 08:01:56,891] 20 root - INFO - Initiated Data Validation
[2025-05-12 08:01:57,014] 32 root - INFO - Required number of coloumns:2
[2025-05-12 08:01:57,014] 33 root - INFO - Data frame has columns:31
[2025-05-12 08:01:57,023] 32 root - INFO - Required number of coloumns:2
[2025-05-12 08:01:57,023] 33 root - INFO - Data frame has columns:31
[2025-05-12 08:01:57,259] 24 root - INFO - The Data Validation is complete
[2025-05-12 08:01:57,259] 26 root - INFO - Data Transformation has been initiated
[2025-05-12 08:01:57,259] 55 root - INFO - Entered Data Transformation Initiation stage 
[2025-05-12 08:01:57,259] 57 root - INFO - starting data transformation
[2025-05-12 08:01:57,295] 43 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2025-05-12 08:01:57,295] 48 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-05-12 08:01:57,314] 46 root - INFO - Entered the save_object method of MainUtils class
[2025-05-12 08:01:57,318] 50 root - INFO - Exited the save_object method of MainUtils class
[2025-05-12 08:01:57,320] 32 root - INFO - Data Transformation has been completed
[2025-05-12 08:01:57,320] 34 root - INFO - Model Training stared
