[2025-05-02 22:38:58,474] 15 root - INFO - Initiating the data ingestion
[2025-05-02 22:39:01,007] 61 root - INFO - Performed train test split on the dataframe
[2025-05-02 22:39:01,007] 63 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-05-02 22:39:01,007] 71 root - INFO - Exporting train and test file path.
[2025-05-02 22:39:01,070] 80 root - INFO - Exported train and test file path.
[2025-05-02 22:39:01,070] 18 root - INFO - data ingestion completed
[2025-05-02 22:39:01,070] 19 root - INFO - Initiated Data Validation
[2025-05-02 22:39:01,178] 32 root - INFO - Required number of coloumns:2
[2025-05-02 22:39:01,178] 33 root - INFO - Data frame has columns:31
[2025-05-02 22:39:01,181] 32 root - INFO - Required number of coloumns:2
[2025-05-02 22:39:01,181] 33 root - INFO - Data frame has columns:31
[2025-05-02 22:39:01,375] 23 root - INFO - The Data Validation is complete
[2025-05-02 22:39:01,375] 25 root - INFO - Data Transformation has been initiated
[2025-05-02 22:39:01,375] 55 root - INFO - Entered Data Transformation Initiation stage 
[2025-05-02 22:39:01,375] 57 root - INFO - starting data transformation
[2025-05-02 22:39:01,415] 43 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2025-05-02 22:39:01,415] 48 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-05-02 22:39:01,431] 46 root - INFO - Entered the save_object method of MainUtils class
[2025-05-02 22:39:01,438] 50 root - INFO - Exited the save_object method of MainUtils class
[2025-05-02 22:39:01,440] 31 root - INFO - Data Transformation has been completed
