[2025-05-02 20:56:23,648] 15 root - INFO - Initiating the data ingestion
[2025-05-02 20:56:26,196] 61 root - INFO - Performed train test split on the dataframe
[2025-05-02 20:56:26,196] 63 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-05-02 20:56:26,212] 71 root - INFO - Exporting train and test file path.
[2025-05-02 20:56:26,286] 80 root - INFO - Exported train and test file path.
[2025-05-02 20:56:26,286] 18 root - INFO - data ingestion completed
[2025-05-02 20:56:26,286] 19 root - INFO - Initiated Data Validation
[2025-05-02 20:56:26,394] 32 root - INFO - Required number of coloumns:2
[2025-05-02 20:56:26,394] 33 root - INFO - Data frame has columns:31
[2025-05-02 20:56:26,394] 32 root - INFO - Required number of coloumns:2
[2025-05-02 20:56:26,394] 33 root - INFO - Data frame has columns:31
