[2025-05-02 21:00:29,314] 15 root - INFO - Initiating the data ingestion
[2025-05-02 21:00:31,847] 61 root - INFO - Performed train test split on the dataframe
[2025-05-02 21:00:31,847] 63 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-05-02 21:00:31,847] 71 root - INFO - Exporting train and test file path.
[2025-05-02 21:00:31,931] 80 root - INFO - Exported train and test file path.
[2025-05-02 21:00:31,931] 18 root - INFO - data ingestion completed
[2025-05-02 21:00:31,931] 19 root - INFO - Initiated Data Validation
[2025-05-02 21:00:32,037] 32 root - INFO - Required number of coloumns:2
[2025-05-02 21:00:32,037] 33 root - INFO - Data frame has columns:31
[2025-05-02 21:00:32,037] 32 root - INFO - Required number of coloumns:2
[2025-05-02 21:00:32,037] 33 root - INFO - Data frame has columns:31
