[2025-05-02 22:37:45,961] 15 root - INFO - Initiating the data ingestion
[2025-05-02 22:37:48,523] 61 root - INFO - Performed train test split on the dataframe
[2025-05-02 22:37:48,523] 63 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-05-02 22:37:48,526] 71 root - INFO - Exporting train and test file path.
[2025-05-02 22:37:48,594] 80 root - INFO - Exported train and test file path.
[2025-05-02 22:37:48,595] 18 root - INFO - data ingestion completed
[2025-05-02 22:37:48,595] 19 root - INFO - Initiated Data Validation
[2025-05-02 22:37:48,706] 32 root - INFO - Required number of coloumns:2
[2025-05-02 22:37:48,706] 33 root - INFO - Data frame has columns:31
[2025-05-02 22:37:48,706] 32 root - INFO - Required number of coloumns:2
[2025-05-02 22:37:48,706] 33 root - INFO - Data frame has columns:31
[2025-05-02 22:37:48,914] 23 root - INFO - The Data Validation is complete
[2025-05-02 22:37:48,916] 25 root - INFO - Data Transformation has been initiated
[2025-05-02 22:37:48,916] 55 root - INFO - Entered Data Transformation Initiation stage 
[2025-05-02 22:37:48,916] 57 root - INFO - starting data transformation
[2025-05-02 22:37:48,950] 43 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2025-05-02 22:37:48,950] 48 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
