[2025-05-12 07:24:25,124] 16 root - INFO - Initiating the data ingestion
[2025-05-12 07:24:39,600] 61 root - INFO - Performed train test split on the dataframe
[2025-05-12 07:24:39,602] 63 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-05-12 07:24:39,603] 71 root - INFO - Exporting train and test file path.
[2025-05-12 07:24:39,731] 80 root - INFO - Exported train and test file path.
[2025-05-12 07:24:39,732] 19 root - INFO - data ingestion completed
[2025-05-12 07:24:39,732] 20 root - INFO - Initiated Data Validation
[2025-05-12 07:24:39,885] 32 root - INFO - Required number of coloumns:2
[2025-05-12 07:24:39,885] 33 root - INFO - Data frame has columns:31
[2025-05-12 07:24:39,888] 32 root - INFO - Required number of coloumns:2
[2025-05-12 07:24:39,888] 33 root - INFO - Data frame has columns:31
[2025-05-12 07:24:40,273] 24 root - INFO - The Data Validation is complete
[2025-05-12 07:24:40,273] 26 root - INFO - Data Transformation has been initiated
[2025-05-12 07:24:40,274] 55 root - INFO - Entered Data Transformation Initiation stage 
[2025-05-12 07:24:40,274] 57 root - INFO - starting data transformation
[2025-05-12 07:24:40,340] 43 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2025-05-12 07:24:40,341] 48 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-05-12 07:24:40,373] 46 root - INFO - Entered the save_object method of MainUtils class
[2025-05-12 07:24:40,381] 50 root - INFO - Exited the save_object method of MainUtils class
[2025-05-12 07:24:40,382] 32 root - INFO - Data Transformation has been completed
[2025-05-12 07:24:40,383] 34 root - INFO - Model Training sstared
