[2025-05-12 07:15:16,661] 16 root - INFO - Initiating the data ingestion
[2025-05-12 07:15:28,624] 61 root - INFO - Performed train test split on the dataframe
[2025-05-12 07:15:28,624] 63 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-05-12 07:15:28,624] 71 root - INFO - Exporting train and test file path.
[2025-05-12 07:15:28,687] 80 root - INFO - Exported train and test file path.
[2025-05-12 07:15:28,687] 19 root - INFO - data ingestion completed
[2025-05-12 07:15:28,687] 20 root - INFO - Initiated Data Validation
[2025-05-12 07:15:28,790] 32 root - INFO - Required number of coloumns:2
[2025-05-12 07:15:28,790] 33 root - INFO - Data frame has columns:31
[2025-05-12 07:15:28,790] 32 root - INFO - Required number of coloumns:2
[2025-05-12 07:15:28,790] 33 root - INFO - Data frame has columns:31
[2025-05-12 07:15:28,993] 24 root - INFO - The Data Validation is complete
[2025-05-12 07:15:28,993] 26 root - INFO - Data Transformation has been initiated
[2025-05-12 07:15:28,993] 55 root - INFO - Entered Data Transformation Initiation stage 
[2025-05-12 07:15:28,993] 57 root - INFO - starting data transformation
[2025-05-12 07:15:29,028] 43 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2025-05-12 07:15:29,028] 48 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-05-12 07:15:29,052] 46 root - INFO - Entered the save_object method of MainUtils class
[2025-05-12 07:15:29,056] 50 root - INFO - Exited the save_object method of MainUtils class
[2025-05-12 07:15:29,056] 32 root - INFO - Data Transformation has been completed
[2025-05-12 07:15:29,056] 34 root - INFO - Model Training sstared
